2016-06-10T06:02:55.242Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:32:55 GMT+0530 (IST), pid=4845, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52170752, heapTotal=34235136, heapUsed=19065560, loadavg=[1.52587890625, 1.65673828125, 1.2578125], uptime=998, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:02:55.246Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:32:55 GMT+0530 (IST), pid=4845, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52396032, heapTotal=34235136, heapUsed=19831360, loadavg=[1.52587890625, 1.65673828125, 1.2578125], uptime=998, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:04:54.605Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:34:54 GMT+0530 (IST), pid=4845, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52805632, heapTotal=35255040, heapUsed=20755784, loadavg=[1.59228515625, 1.65869140625, 1.306640625], uptime=1117, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:04:54.665Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:34:54 GMT+0530 (IST), pid=4845, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52858880, heapTotal=35255040, heapUsed=21031008, loadavg=[1.59228515625, 1.65869140625, 1.306640625], uptime=1117, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:05:36.163Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:35:36 GMT+0530 (IST), pid=5345, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52322304, heapTotal=34235136, heapUsed=19500064, loadavg=[1.7392578125, 1.68896484375, 1.3349609375], uptime=1159, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:05:36.176Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:35:36 GMT+0530 (IST), pid=5345, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52580352, heapTotal=35255040, heapUsed=20286792, loadavg=[1.7392578125, 1.68896484375, 1.3349609375], uptime=1159, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:05:37.467Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:35:37 GMT+0530 (IST), pid=5345, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52772864, heapTotal=35255040, heapUsed=20681336, loadavg=[1.7392578125, 1.68896484375, 1.3349609375], uptime=1160, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:05:37.471Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:35:37 GMT+0530 (IST), pid=5345, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52817920, heapTotal=35255040, heapUsed=20952296, loadavg=[1.7392578125, 1.68896484375, 1.3349609375], uptime=1160, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:05:53.006Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:35:53 GMT+0530 (IST), pid=5500, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=51744768, heapTotal=35267072, heapUsed=19253232, loadavg=[1.642578125, 1.67041015625, 1.33349609375], uptime=1176, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:05:53.010Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:35:53 GMT+0530 (IST), pid=5500, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52006912, heapTotal=35267072, heapUsed=20004808, loadavg=[1.642578125, 1.67041015625, 1.33349609375], uptime=1176, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
2016-06-10T06:07:40.932Z - [31merror[39m: uncaughtException: err is not defined date=Fri Jun 10 2016 11:37:40 GMT+0530 (IST), pid=5821, uid=501, gid=20, cwd=/Users/mohanrathour/Desktop/local-workspace/environment-app, execPath=/Users/mohanrathour/.nvm/v0.10.40/bin/node, version=v0.10.40, argv=[node, /Users/mohanrathour/Desktop/local-workspace/environment-app/app.js], rss=52502528, heapTotal=35267072, heapUsed=21549376, loadavg=[2.47607421875, 2.00439453125, 1.5048828125], uptime=1283, trace=[column=8, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js, function=Request._callback, line=23, method=_callback, native=false, column=22, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=Request.self.callback, line=200, method=self.callback, native=false, column=17, file=events.js, function=Request.emit, line=98, method=emit, native=false, column=10, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=1067, method=null, native=false, column=20, file=events.js, function=Request.emit, line=117, method=emit, native=false, column=12, file=/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js, function=, line=988, method=null, native=false, column=20, file=events.js, function=IncomingMessage.emit, line=117, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=944, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=448, method=_tickCallback, native=false], stack=[ReferenceError: err is not defined,     at Request._callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/src/service/yahooService.js:23:8),     at Request.self.callback (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:200:22),     at Request.emit (events.js:98:17),     at Request.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:1067:10),     at Request.emit (events.js:117:20),     at IncomingMessage.<anonymous> (/Users/mohanrathour/Desktop/local-workspace/environment-app/node_modules/request/request.js:988:12),     at IncomingMessage.emit (events.js:117:20),     at _stream_readable.js:944:16,     at process._tickCallback (node.js:448:13)]
